name,phone,address,city,state,website,rating,vertical,source
Norske Electric,(952) 443-4113,"3540 Kilkenny Ln Suite 100, Hamel, MN 55340, USA",Minneapolis,MN,http://www.norskeelectric.com/,5,electricians,google_places
Haro Electric Solutions,(612) 245-4516,"2004 Olson Mem Hwy, Minneapolis, MN 55411, USA",Minneapolis,MN,https://www.haroelectric.com/,3.5,electricians,google_places
Randy's Electric & Plumbing,(651) 321-1119,"777 Selby Ave Suite 101, St Paul, MN 55104, USA",Minneapolis,MN,https://www.randyselectric.com/?utm_source=google&utm_medium=gmb&utm_campaign=st-paul,4.8,electricians,google_places
Bavolak Electric,(612) 623-4031,"2010 E Hennepin Ave Suite 9-102, Minneapolis, MN 55413, USA",Minneapolis,MN,http://www.bavolak.com/,4.5,electricians,google_places
Fraser-Morris Electric Co,(612) 332-4328,"250 2nd Ave S # 109, Minneapolis, MN 55401, USA",Minneapolis,MN,http://www.frasermorris.com/,5,electricians,google_places
Müller Electric,(612) 254-0796,"2736 Lyndale Ave S # A, Minneapolis, MN 55408, USA",Minneapolis,MN,,4.2,electricians,google_places
Lovegren Electric Co,(612) 588-1222,"2222 N Girard Ave, Minneapolis, MN 55411, USA",Minneapolis,MN,,5,electricians,google_places
"Service Today - Heating, Cooling, & Electrical Repair",(612) 254-1006,"9609 Girard Ave S, Bloomington, MN 55431, USA",Minneapolis,MN,https://servicetoday247.com/,4.6,electricians,google_places
J&Y Electrical Contracting,,"921 N 3rd St, Minneapolis, MN 55401, USA",Minneapolis,MN,,,electricians,google_places
Minneapolis Electricians,(612) 296-6000,"726 E 38th St #6, Minneapolis, MN 55407, USA",Minneapolis,MN,http://www.minneapoliselectricians.net/,,electricians,google_places
Mohs Electric,(612) 895-4180,"10700 Hwy 55 Suite 245, Plymouth, MN 55441, USA",Minneapolis,MN,http://mohselectric.com/?utm_source=GBP&utm_medium=organic,4.9,electricians,google_places
Sherman Electric,(612) 871-2407,"2736 Lyndale Ave S, Minneapolis, MN 55408, USA",Minneapolis,MN,https://www.shermanelectric.com/,5,electricians,google_places
All American Electric LLC,(612) 200-1097,"2731 E 25th St, Minneapolis, MN 55406, USA",Minneapolis,MN,,4.2,electricians,google_places
Electric City Corporation,(952) 406-8238,"3230 Gorham Ave, Minneapolis, MN 55426, USA",Minneapolis,MN,http://www.electriccitycorp.com/,4.6,electricians,google_places
Stafford Home Service,(612) 895-6883,"6225 Cambridge St, Minneapolis, MN 55416, USA",Minneapolis,MN,https://www.staffordhomeservice.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*546*stafford-minneapolis,4.9,electricians,google_places
Golden – GE Group Inc,(612) 456-3000,"2445 Nevada Ave N #100, Golden Valley, MN 55427, USA",Minneapolis,MN,https://www.goldenmn.com/,4.8,electricians,google_places
Pro Wire Electrical Services,(612) 387-9322,"4616 Longfellow Ave, Minneapolis, MN 55407, USA",Minneapolis,MN,,5,electricians,google_places
TIM KUNKEL ELECTRIC L.L.C.,(651) 353-1072,"1838 Laurel Ave, St Paul, MN 55104, USA",Minneapolis,MN,http://timkunkelelectric.com/,4.9,electricians,google_places
Banks Electric Company,(651) 461-0559,"4010 E Lake St, Minneapolis, MN 55406, USA",Minneapolis,MN,http://bankselectriccompany.com/,5,electricians,google_places
"Bakken Electric, LLC",(651) 203-8130,"817 Vandalia St, St Paul, MN 55114, USA",Minneapolis,MN,https://www.bakkenelectric.com/,4.9,electricians,google_places
Richfield Electricians,(612) 869-2008,"7731 Pillsbury Ave Suite 200, Richfield, MN 55423, USA",Minneapolis,MN,http://www.richfieldelectricians.com/,4.8,electricians,google_places
Apex Electrical Solutions,(651) 650-4234,"3925 W 31st St Unit 3, St Louis Park, MN 55416, USA",Minneapolis,MN,,5,electricians,google_places
Ace Handyman Services Minneapolis Metro,(612) 504-5592,"3809 Nicollet Ave, Minneapolis, MN 55409, USA",Minneapolis,MN,https://www.acehandymanservices.com/offices/minneapolis-metro,4.9,electricians,google_places
Gibbs Electrical,(763) 415-7543,"2311 W 50th St, Minneapolis, MN 55419, USA",Minneapolis,MN,,3.4,electricians,google_places
A&T Electrical Services LLC,(651) 350-6535,"7600 Lyndale Ave S APT 108, Minneapolis, MN 55423, USA",Minneapolis,MN,http://aandtelecticservices.com/,5,electricians,google_places
Damyans Electric Inc.,(612) 616-9251,"8000 Powell Rd #150, Hopkins, MN 55343, USA",Minneapolis,MN,https://damyanselectric.com/?utm_source=gbp&utm_medium=organic,4.9,electricians,google_places
Schlemmer Electricians,(612) 296-6000,"8900 Penn Ave S #306, Bloomington, MN 55431, USA",Minneapolis,MN,http://www.bloomingtonelectric.net/,4.9,electricians,google_places
Minneapolis Electric Company,,"3014 W 50th St, Minneapolis, MN 55410, USA",Minneapolis,MN,,3.4,electricians,google_places
Loch Monster Electric,(763) 292-1191,"7600 W 27th St # 213, St Louis Park, MN 55426, USA",Minneapolis,MN,https://www.lochmonsterelectric.com/,5,electricians,google_places
Rynerson Electric Inc,(612) 869-5924,"6211 Logan Ave S, Minneapolis, MN 55423, USA",Minneapolis,MN,https://www.minnesota-electrician.com/electrician-in-richfield/,5,electricians,google_places
Electric Today,(612) 567-5559,"3990 Central Ave NE, Minneapolis, MN 55421, USA",Minneapolis,MN,https://www.minneapoliselectricianpros.com/,5,electricians,google_places
Zero To One Electric Co,(612) 504-7021,"2525 Nevada Ave N STE 307, Golden Valley, MN 55427, USA",Minneapolis,MN,,5,electricians,google_places
"JZ Electric, Inc.",(763) 545-2002,"7100 Madison Ave W, Minneapolis, MN 55427, USA",Minneapolis,MN,http://jzelectricinc.com/,4.6,electricians,google_places
American Electric Inc,(763) 566-5777,"832 Bellvue Ln, Brooklyn Center, MN 55430, USA",Minneapolis,MN,http://www.americanelectricmn.com/,4.5,electricians,google_places
Killmer Electric Co Inc,(763) 425-2525,"5141 Lakeland Ave N, Minneapolis, MN 55429, USA",Minneapolis,MN,https://killmerelectric.com/,3.7,electricians,google_places
Happy Electric LLC,(612) 662-9174,"1071 County Hwy 10 # 250, Spring Lake Park, MN 55432, USA",Minneapolis,MN,https://www.happyelectricmn.com/,5,electricians,google_places
Sternberg Electric Service,(651) 464-7359,"1915 MN-36 #7, Roseville, MN 55113, USA",Minneapolis,MN,https://sternbergelectric.com/?utm_source=google&utm_medium=gbp&utm_campaign=website_link,3.9,electricians,google_places
Premium Electrician,,"833 Boone Ave N, Golden Valley, MN 55427, USA",Minneapolis,MN,https://usmapiqs.org/details/premium-electrician-ChIJy0N,5,electricians,google_places
Ace Electrical Contractors Inc,(763) 694-8800,"8300 10th Ave N, Golden Valley, MN 55427, USA",Minneapolis,MN,http://www.aceelectrical.net/,4.5,electricians,google_places
Snyder Electric Co,(952) 920-6644,"6112 Excelsior Blvd, St Louis Park, MN 55416, USA",Minneapolis,MN,https://snyderelectricco.net/,,electricians,google_places
Canton Electric Company,(651) 371-9951,"4307 Park Glen Rd, Minneapolis, MN 55416, USA",Minneapolis,MN,,4,electricians,google_places
Nova electrical service,(612) 488-3087,"4835 Minnetonka Blvd, Minneapolis, MN 55416, USA",Minneapolis,MN,,3,electricians,google_places
MJ Electric,(612) 598-0793,"9743 Humboldt Ave S, Bloomington, MN 55431, USA",Minneapolis,MN,http://www.mjelectricmn.com/,4.6,electricians,google_places
Rivertown Electric inc,(651) 438-3131,"2535 Pilot Knob Rd Suite 137, Mendota Heights, MN 55120, USA",Minneapolis,MN,http://rivertownelectric.com/,4.9,electricians,google_places
John Electrical Contracting,(763) 496-4926,"4120 Central Ave NE, Columbia Heights, MN 55421, USA",Minneapolis,MN,,5,electricians,google_places
North Side Electric LLC,(612) 521-8815,"26 19th Ave SW, New Brighton, MN 55112, USA",Minneapolis,MN,,4.2,electricians,google_places
Muska Electric Co,(651) 636-5820,"1985 Oakcrest Ave, Roseville, MN 55113, USA",Minneapolis,MN,http://www.muskaelectric.com/,4.4,electricians,google_places
Minneapolis Emergency Electrical Services,(612) 254-0599,"800 N 42nd Ave, Minneapolis, MN 55412, USA",Minneapolis,MN,,2,electricians,google_places
"South Side Electric, Inc.",(952) 888-5500,"9201 E Bloomington Fwy, Bloomington, MN 55420, USA",Minneapolis,MN,http://southsideelectric.net/,4.4,electricians,google_places
Bloomington electrical services,(612) 488-3084,"5 E 91st St, Bloomington, MN 55420, USA",Minneapolis,MN,,4.5,electricians,google_places
Minnesota Electricians LLC,(952) 230-0600,"2950 Metro Dr, Bloomington, MN 55425, USA",Minneapolis,MN,https://minnesotaelectricians.pro/,4.8,electricians,google_places
Century Electrical Services,(763) 296-8072,"10740 Lyndale Ave S, Bloomington, MN 55420, USA",Minneapolis,MN,,5,electricians,google_places
Phase Electric & Media,(952) 881-4100,"9401 James Ave S #150, Bloomington, MN 55431, USA",Minneapolis,MN,http://www.phase-electric.com/,4.4,electricians,google_places
Victor Electric,(612) 500-7626,"7500 Golden Triangle Dr Unit E14, Eden Prairie, MN 55344, USA",Minneapolis,MN,http://victorelectric.org/?utm_source=gmb&utm_medium=referral,5,electricians,google_places
Elbert Electric LLC,(763) 294-2105,"11141 Xerxes Ave S, Minneapolis, MN 55431, USA",Minneapolis,MN,,4.3,electricians,google_places
Finch Home Solutions,(651) 243-4711,"8555 123rd St W Suite 400, Savage, MN 55378, USA",Minneapolis,MN,https://www.callfinch.com/,4.9,electricians,google_places
Bloomington Electric Co,(952) 888-7905,"815 American Blvd E, Bloomington, MN 55420, USA",Minneapolis,MN,http://bloomingtonelectric.com/,4.2,electricians,google_places
Hunt Electric,(651) 646-2911,"1000 Blue Gentian Rd #300, Eagan, MN 55121, USA",Minneapolis,MN,https://www.huntelec.com/,4.6,electricians,google_places
Lakeview Electric,(952) 232-1611,"1143 Riverwood Dr, Burnsville, MN 55337, USA",Minneapolis,MN,http://lakeviewelectric.com/,4.6,electricians,google_places
D Electrical Services,,"4933 Central Ave NE, Columbia Heights, MN 55421, USA",Minneapolis,MN,,3.5,electricians,google_places
Wallraff Electric,(651) 636-8515,"540 Old Hwy 8 NW, New Brighton, MN 55112, USA",Minneapolis,MN,https://www.wecomn.net/,4.7,electricians,google_places
ArchKey/Parsons Electric Minneapolis Office,(763) 571-8000,"5960 Main St NE, Minneapolis, MN 55432, USA",Minneapolis,MN,https://www.archkey.com/archkey-parsons-electric/,4.3,electricians,google_places
Standafer Electric,,"3309 Yates Ave N, Crystal, MN 55422, USA",Minneapolis,MN,,5,electricians,google_places
Eagle Electrical Services,(952) 657-7276,"5174 Douglas Dr N, Crystal, MN 55428, USA",Minneapolis,MN,,5,electricians,google_places
Eden Prairie's Electricians,(952) 800-7952,"10271 Wayzata Blvd, Hopkins, MN 55305, USA",Minneapolis,MN,,5,electricians,google_places
Ace One Electrical,(952) 592-0939,"1000 Parkers Lake Rd #111, Wayzata, MN 55391, USA",Minneapolis,MN,https://aceoneelectricians.com/wayzata-mn/,5,electricians,google_places
Jdl Electric,(763) 208-4959,"3017 Virginia Ave N, Minneapolis, MN 55427, USA",Minneapolis,MN,,5,electricians,google_places
Nelson Electric Inc.,(763) 444-1523,"7801 Xylon Ave N Suite 300, Brooklyn Park, MN 55445, USA",Minneapolis,MN,https://www.nelsonelectricinc.com/,4.4,electricians,google_places
William Electric Pros,(763) 294-2115,"7303 Boone Ave N, Minneapolis, MN 55428, USA",Minneapolis,MN,,4.8,electricians,google_places
Spark gen electrical service,(612) 488-3028,"6301 Wyoming Ave N, Minneapolis, MN 55428, USA",Minneapolis,MN,,4.6,electricians,google_places
Morrison's Electric INC.,(952) 818-9288,"10200 96th Pl N, Maple Grove, MN 55369, USA",Minneapolis,MN,http://www.morrisonelectric.net/,4.9,electricians,google_places
"BlazingStar Energy, LLC",(954) 505-9494,"5123 W 98th St #1300, Minneapolis, MN 55437, USA",Minneapolis,MN,https://www.blazingstarenergy.com/,5,electricians,google_places
Carter Electric Inc.,(763) 486-7616,"105 Talmadge Way NE, Fridley, MN 55432, USA",Minneapolis,MN,http://www.carterelectricinc.net/,5,electricians,google_places
Realm Electric LLC,(651) 460-0122,"518 Rosedale Rd NE, Spring Lake Park, MN 55432, USA",Minneapolis,MN,http://www.realmelectricllc.com/,4.3,electricians,google_places
Dependable Electric,(763) 757-5090,"2619 Coon Rapids Blvd NW, Coon Rapids, MN 55433, USA",Minneapolis,MN,https://www.dependableelectricinc.com/,4.6,electricians,google_places
"Friendly Electric, LLC",(763) 516-4160,"11022 Quebec Ave N, Champlin, MN 55316, USA",Minneapolis,MN,http://www.friendlyelectricllc.com/,5,electricians,google_places
Next gen electrical service,,"11960 Jonquil St NW, Coon Rapids, MN 55433, USA",Minneapolis,MN,,5,electricians,google_places
Minnesota Wiring Co,(612) 357-1410,"1206 152nd Ln NW, Andover, MN 55304, USA",Minneapolis,MN,https://www.mnwiringco.com/,5,electricians,google_places
Twin City Electrical,(763) 299-9523,"10068 Flanders Ct NE, Blaine, MN 55449, USA",Minneapolis,MN,https://twincityheatingandair.com/electrical,5,electricians,google_places
Ace One Electrical,(763) 363-3343,"3200 Main St NW #254, Minneapolis, MN 55448, USA",Minneapolis,MN,https://aceoneelectricians.com/coon-rapids-mn/,5,electricians,google_places
Crosstown Electric,(763) 772-5084,"12870 Mankato St NE, Blaine, MN 55449, USA",Minneapolis,MN,http://www.crosstownelectric.net/,4.9,electricians,google_places
"Erickson Plumbing, Heating, Air, Electrical",(763) 783-4545,"1471 92nd Ln NE, Blaine, MN 55449, USA",Minneapolis,MN,https://www.ihearterickson.com/,4.8,electricians,google_places
Spark electrical services,(612) 488-3092,"649 111th Ave NE, Blaine, MN 55434, USA",Minneapolis,MN,,5,electricians,google_places
Lund Electric Repair Company,(763) 363-3723,"9268 Central Ave NE, Blaine, MN 55434, USA",Minneapolis,MN,,5,electricians,google_places
Neo Electrical Solutions,(651) 287-1100,"3061 103rd Ln NE, Blaine, MN 55449, USA",Minneapolis,MN,https://neoelectrical.com/,4.7,electricians,google_places
Arcade Electric Co,(651) 483-5066,"1550 91st Ave NE STE 201, Minneapolis, MN 55449, USA",Minneapolis,MN,,4.5,electricians,google_places
Aid Electric Corporation,(763) 571-7267,"1622 93rd Ln NE, Blaine, MN 55449, USA",Minneapolis,MN,http://aidelectric.com/,4.1,electricians,google_places
Tedora Electrician & Handyman,(763) 294-2452,"11169 Ulysses St NE, Blaine, MN 55434, USA",Minneapolis,MN,,3,electricians,google_places
Knight Light Electric,(612) 930-6033,"3851 Lovell Rd NE, Circle Pines, MN 55014, USA",Minneapolis,MN,http://knightlightelectricians.com/,5,electricians,google_places
Hawkins Electric Inc,(612) 217-1423,"10817 Quito St NE, Circle Pines, MN 55014, USA",Minneapolis,MN,https://hawkins-electric.com/,5,electricians,google_places
Phasor Electric Company,(763) 780-3401,"2160 108th Ln NE, Blaine, MN 55449, USA",Minneapolis,MN,https://www.phasorelectric.com/,4.3,electricians,google_places
Handyman Connection of Eden Prairie,(952) 563-8484,"5108 W 74th St #652, Edina, MN 55439, USA",Minneapolis,MN,https://handymanconnection.com/eden-prairie/?utm_source=gbp&utm_medium=organic&utm_campaign=GBP-Website-Link,4.5,electricians,google_places
Gilbert Mechanical Contractors Inc.,(952) 835-3810,"5251 W 74th St, Edina, MN 55439, USA",Minneapolis,MN,https://www.gilbertmech.com/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business,4.2,electricians,google_places
Tommy's Electric,(952) 736-7582,"5835 Louis Ave, Minnetonka, MN 55345, USA",Minneapolis,MN,https://www.tommyselectric.net/,4.6,electricians,google_places
Dynasty Electrical Services Inc,(763) 464-1061,"8216 W 125th St, Savage, MN 55378, USA",Minneapolis,MN,https://calldynasty.com/,5,electricians,google_places
"Gunnar Electric, Inc",(952) 937-9262,"14850 Martin Dr, Eden Prairie, MN 55344, USA",Minneapolis,MN,http://www.gunnarelectric.com/,4.5,electricians,google_places
"A J Moore Electric, INC",(952) 303-4865,"12701 Chowen Ave S #104b, Burnsville, MN 55337, USA",Minneapolis,MN,http://www.ajmelectric.com/,3.4,electricians,google_places
"Hero: Plumbing, Heating, Cooling, Drains, Ducts & Electrical",(612) 504-1620,"10900 Hampshire Ave S Suite 120, Bloomington, MN 55438, USA",Minneapolis,MN,https://callhero.com/bloomington/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*127*hero-plumbing-heating-bloomington,4.7,electricians,google_places
"Midwest Electric & Generator, LLC",(612) 284-8800,"7500 Golden Triangle Dr Suite G13, Eden Prairie, MN 55344, USA",Minneapolis,MN,https://midwestgenerators.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=eden_prairie,4.9,electricians,google_places
Advanced Electric Co Inc,(952) 230-7352,"4132 Hull Rd, Minnetonka, MN 55305, USA",Minneapolis,MN,https://www.advancedelectricalservicesmn.com/,4.4,electricians,google_places
Mr. Electric of Twin Cities West Metro,(763) 465-2202,"15400 28th Ave N suite 200, Plymouth, MN 55447, USA",Minneapolis,MN,https://www.mrelectric.com/twin-cities-west-metro?cid=LSTL_MRE000256,5,electricians,google_places
Focus Electrical Contractors,(952) 213-1734,"14220 23rd Ave N, Plymouth, MN 55447, USA",Minneapolis,MN,https://www.focuselectricalcontractors.com/,5,electricians,google_places
OlympiaTech Electrical Contractors,(763) 559-1900,"13700 Water Tower Cir # A, Plymouth, MN 55441, USA",Minneapolis,MN,http://www.olympiatech.net/,5,electricians,google_places
Current Electric Systems,(612) 567-2099,"14240 23rd Ave N, Plymouth, MN 55447, USA",Minneapolis,MN,http://www.currentelectricsystems.com/,4.8,electricians,google_places
"Primary Electric, Incorporated",(763) 213-6262,"13570 Grove Dr #226, Maple Grove, MN 55311, USA",Minneapolis,MN,http://www.primaryelec.com/,5,electricians,google_places
Sunrise Electric Inc,(763) 566-8600,"4080 83rd Ave N, Brooklyn Park, MN 55443, USA",Minneapolis,MN,,3,electricians,google_places
"BlueSky Electric, Solar, & EV Charging",(651) 497-1295,"8451 Xerxes Ave N, Minneapolis, MN 55444, USA",Minneapolis,MN,http://blueskyelectricco.com/,5,electricians,google_places
Premier Electrical Corporation,(763) 424-6551,"4401 85th Ave N, Brooklyn Park, MN 55443, USA",Minneapolis,MN,http://www.premiercorp.net/,3,electricians,google_places
Garber Electric Company,(218) 366-8200,"15600 36th Ave N, Minneapolis, MN 55446, USA",Minneapolis,MN,,4.6,electricians,google_places
Electric Today!,(763) 767-1410,"1099 140th Ln NW, Andover, MN 55304, USA",Minneapolis,MN,https://www.electrictoday.com/,4.9,electricians,google_places
Atir Electric Corporation (WBE),(763) 785-7883,"2501 4th Ave, Anoka, MN 55303, USA",Minneapolis,MN,http://www.atirelectric.com/,5,electricians,google_places
Mister Sparky of St. Paul,(651) 273-0287,"3543 88th Ave NE #300, Circle Pines, MN 55014, USA",Minneapolis,MN,https://www.mistersparky.com/st-paul/,5,electricians,google_places
"RESA High Voltage Service, LLC",(763) 784-4040,"3890 Pheasant Ridge Dr NE #170, Blaine, MN 55449, USA",Minneapolis,MN,http://www.resapower.com/,5,electricians,google_places
Highland Electric,(651) 690-1551,"2333 Waters Dr, St Paul, MN 55120, USA",Minneapolis,MN,https://highland-electric.com/,4.1,electricians,google_places
MSP Electric LLC,(651) 340-2677,"1408 Northland Dr Suite 106, Mendota Heights, MN 55120, USA",Minneapolis,MN,https://www.msp-electric.com/,4,electricians,google_places
Super Electric,(651) 222-8288,"333 S Colborne St, St Paul, MN 55102, USA",Saint Paul,MN,http://www.superelectricmn.com/,4.7,electricians,google_places
Supreme Electric Inc,(651) 227-8849,"1083 7th St W, St Paul, MN 55102, USA",Saint Paul,MN,https://www.supremeelectricinc.com/,5,electricians,google_places
Collins Electrical Construction Co,(651) 224-2833,"278 State St, St Paul, MN 55107, USA",Saint Paul,MN,http://www.collinsmn.com/,4.5,electricians,google_places
Mr. Electric of St. Paul,(612) 254-6671,"165 Bridgeport Drive, South St Paul, MN 55075, USA",Saint Paul,MN,https://mrelectric.com/saint-paul/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,4.8,electricians,google_places
Pulse Electric Inc.,(651) 324-8427,"1410 Sylvan St Unit B, St Paul, MN 55117, USA",Saint Paul,MN,http://www.pulseelectric.net/,4.6,electricians,google_places
Nelson’s Twin City Electric INC.,(612) 366-4969,"2659 Brookview Dr E, St Paul, MN 55119, USA",Saint Paul,MN,http://nelsonstcelectric.com/,5,electricians,google_places
Merit Electric Company,(651) 774-9671,"1272 Point Douglas Rd S, St Paul, MN 55119, USA",Saint Paul,MN,http://www.meritelectriccompany.com/,4.7,electricians,google_places
Custom Electrical Services,(651) 245-5729,"2419 Margaret St N Suite 203, North St Paul, MN 55109, USA",Saint Paul,MN,,4.8,electricians,google_places
Nilles Electric,(651) 222-8744,"525 Ohio St, St Paul, MN 55107, USA",Saint Paul,MN,https://nilleselectric.com/,5,electricians,google_places
Kirtland Electric,(651) 704-9338,"570 Hatch Ave W, St Paul, MN 55117, USA",Saint Paul,MN,http://www.kirtlandelectric.com/,5,electricians,google_places
J Huntley Electric,(651) 451-4788,"263 Butler Ave E, St Paul, MN 55118, USA",Saint Paul,MN,,4.3,electricians,google_places
Snelling Heating Cooling and Electrical,,"1400 Concordia Ave, St Paul, MN 55104, USA",Saint Paul,MN,http://www.snellingcompany.com/,4.7,electricians,google_places
Arrow Electrical Contractors,(651) 552-8767,"942 Gorman Ave, West St Paul, MN 55118, USA",Saint Paul,MN,,5,electricians,google_places
Ries Electric Co,(651) 451-2238,"777 Concord St N #1195, South St Paul, MN 55075, USA",Saint Paul,MN,,4.5,electricians,google_places
Lanz Electric LLC,(651) 283-3681,"1526 Lexington Pkwy N, St Paul, MN 55117, USA",Saint Paul,MN,https://lanzelectric.com/,5,electricians,google_places
New Tech Electric Systems Inc,(651) 456-0088,"397 Bridgepoint Dr, South St Paul, MN 55075, USA",Saint Paul,MN,http://www.newtechelectric.com/,5,electricians,google_places
"Complete Electric, LLC",(651) 248-9275,"1860 Ivy Ln, White Bear Lake, MN 55110, USA",Saint Paul,MN,http://www.completeelectriccompany.com/,5,electricians,google_places
Skyline Electric,(651) 243-9835,"2025 4th St STE 104, White Bear Lake, MN 55110, USA",Saint Paul,MN,http://www.skylineelectricmn.com/,5,electricians,google_places
Shinin' Brightly Electric LLC,(612) 730-4120,"2130 11th St, White Bear Lake, MN 55110, USA",Saint Paul,MN,https://shininbrightlyelectric.com/,5,electricians,google_places
Andre's Electric,(651) 426-3787,"3824 Oakridge Ln, White Bear Lake, MN 55110, USA",Saint Paul,MN,https://andreselectric.com/?utm_source=google&utm_medium=gbp&utm_campaign=website_link,4.5,electricians,google_places
Multitech Electric,(612) 325-1181,"2515 White Bear Ave, Maplewood, MN 55109, USA",Saint Paul,MN,http://www.multitechelectric.com/,5,electricians,google_places
"Goldstar Electric, Inc",(651) 307-0138,"2581 English St, St Paul, MN 55109, USA",Saint Paul,MN,http://www.goldstarelect.com/,5,electricians,google_places
NEI Electric,(651) 771-1000,"4815 White Bear Pkwy, St Paul, MN 55110, USA",Saint Paul,MN,http://www.neielectric.com/,4.6,electricians,google_places
STABNER ELECTRIC LLC,(651) 439-7304,"2127 Division St N, North St Paul, MN 55109, USA",Saint Paul,MN,http://www.stabner-electric.com/,4.4,electricians,google_places
Wildwood Electric Service,(651) 431-8475,"505 Wildwood Ave, St Paul, MN 55110, USA",Saint Paul,MN,,5,electricians,google_places
B&B Electric Inc.,(651) 490-2926,"430 County Rd D E, Little Canada, MN 55117, USA",Saint Paul,MN,https://www.bandbelectric.com/,5,electricians,google_places
Marshall Electric Inc,(651) 426-3370,"9590 Jamaca Ave N, Mahtomedi, MN 55115, USA",Saint Paul,MN,http://www.marshallelectricmn.com/,4.6,electricians,google_places
Lighthouse Electric,(651) 231-2156,"5631 Fisher St, White Bear Lake, MN 55110, USA",Saint Paul,MN,,5,electricians,google_places
Witzel Electric,(651) 756-8939,"7129 20th Ave N #2, Centerville, MN 55038, USA",Saint Paul,MN,https://witzelelectric.godaddysites.com/,4,electricians,google_places
"Ultimate Controls Electric, LLC",(763) 444-4171,"4980 Constellation Dr, White Bear Lake, MN 55127, USA",Saint Paul,MN,http://www.ultimatecontrolselectric.com/,,electricians,google_places
Midbrod Electric,(651) 351-5074,"5627 Memorial Ave N, Stillwater, MN 55082, USA",Saint Paul,MN,https://midbrodelectric.com/,5,electricians,google_places
"EME, LLC",(651) 269-8018,"Mayberry Trail N, 205th St N #13383, Scandia, MN 55073, USA",Saint Paul,MN,https://www.energymanagementelectric.com/,5,electricians,google_places
Knudsen Electric Inc,(651) 335-2756,"2447 Stewart Ave, St Paul, MN 55116, USA",Saint Paul,MN,,5,electricians,google_places
Wallace Electrical Construction,(651) 458-3476,"218 13th Ave S #200, South St Paul, MN 55075, USA",Saint Paul,MN,https://osd.umn.edu/business/wallace-electrical-construction,3.7,electricians,google_places
